title,location,price,price_value,url,date_posted,category,square_meters,price_per_sqm,search_phrase,scraped_date
No Title,"Katowice, Zawodzie",0 zł,0.0,https://www.olx.pl/d/oferta/schody-wewnetrzne-na-wymiar-CID4371-ID15IfyH.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:28,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Częstochowa, Północ",950 zł,950.0,https://www.olx.pl/d/oferta/zegar-stojacy-podlogowy-antyk-CID4042-ID15IfxX.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:24,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Zamość,130 zł,130.0,https://www.olx.pl/d/oferta/loona-flip-that-album-CID751-ID15IgOh.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:44,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Warszawa, Ochota",10 zł,10.0,https://www.olx.pl/d/oferta/szczotka-do-kota-i-rekawica-CID103-ID15IgCq.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Warszawa, Ochota",160 zł,160.0,https://www.olx.pl/d/oferta/2-x-garnitur-spodnie-dla-chlopca-158-i-164cm-buty-lasocki-young-nr-38-CID88-ID15IgCP.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Pstrągówka,13 zł,13.0,https://www.olx.pl/d/oferta/koszulka-chupa-chups-CID87-ID15IgIN.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:43,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Ostrów Wielkopolski,2 999 zł,2999.0,https://www.olx.pl/d/oferta/apple-iphone-15-plus-128gb-black-nowy-fabrycznie-zaplombowany-CID99-ID15Igyy.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:40,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Żory,100 zł,100.0,https://www.olx.pl/d/oferta/sprzedam-firanki-ekrany-CID628-ID15IgCr.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Włoszczowa,5 000 zł,5000.0,https://www.olx.pl/d/oferta/ogier-karino-roczny-CID103-ID15IgH5.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:42,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Oława,160 zł,160.0,https://www.olx.pl/d/oferta/buty-robocze-cofra-asphalt-s2-p-hro-hi-sra-rozmiary-43-i-44-nowe-CID4269-ID15IgzC.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:40,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Kraków, Łagiewniki-Borek Fałęcki",Za darmo,0.0,https://www.olx.pl/d/oferta/roslinki-za-darmo-CID628-ID15IgLn.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:44,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Lubartów,1 500 zł,1500.0,https://www.olx.pl/d/oferta/nintendo-switch-oled-10-gier-ringfit-etui-akcesoria-CID99-ID15IgCo.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Sulimów,0 zł,0.0,https://www.olx.pl/d/oferta/uslugi-koparko-ladowarka-oraz-mini-koparka-CID4371-ID15If7s.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:16,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Jaworzno,0 zł,0.0,https://www.olx.pl/d/oferta/pomniki-na-groby-ziemne-urnowe-grobowce-CID4371-ID15If6F.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:16,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,Olsztynek,225 zł,225.0,https://www.olx.pl/d/oferta/nikesbdunklowfogr-40-CID87-ID15IgAy.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
No Title,"Wrocław, Krzyki",95 zł,95.0,https://www.olx.pl/d/oferta/krotka-sukienka-kimono-bollywood-laurella-xs-s-wiskoza-CID87-ID15IgBg.html?reason=extended_search_no_results_last_resort,Dzisiaj o 15:41,other,0.0,0,dom 100m2,2025-05-07 15:53:22
