title,location,price,price_value,url,category
No Title,Czerwionka-Leszczyny,5 250 zł,5250.0,https://www.olx.pl/d/oferta/marin-rift-zone-1-27-5-2022-s-upgrade-papiery-osie-boost-CID767-ID15cx4d.html,other
No Title,"Czeladź, Śródmieście",5 500 zł,5500.0,https://www.olx.pl/d/oferta/ncm-aspen-plus-fatbike-CID767-IDYOq5i.html,other
No Title,"Szczecin, Pomorzany",20 zł,20.0,https://www.olx.pl/d/oferta/wypozycze-rower-elektryczny-glovo-uber-eats-bolt-20-pln-doba-szczecin-CID3018-ID15pGVu.html,other
No Title,Brzeźnica,2 500 złdo negocjacji,2500.0,https://www.olx.pl/d/oferta/ns-bikes-zircus-zircus-CID767-ID15dbzZ.html,other
No Title,Stronie,1 700 zł,1700.0,https://www.olx.pl/d/oferta/rower-dirt-metropolis-CID767-ID14Rw13.html,other
No Title,Zosin,7 700 złdo negocjacji,7700.0,https://www.olx.pl/d/oferta/kona-operator-2020-downhill-scott-santa-cruz-canyon-ns-bikes-CID767-ID11gkWp.html,other
No Title,Opole,8 999 zł,8999.0,https://www.olx.pl/d/oferta/haibike-alltrack-5-29-i720wh-rozmiar-xl-CID767-ID1264Mw.html,other
No Title,"Rawicz, Osiedle 350 Lecia Rawicza",19 900 zł,19900.0,https://www.olx.pl/d/oferta/800wh-elektryczny-mtb-full-enduro-trek-rail-8-gen-5-rok-2025-l-800-wh-CID767-ID159A2r.html,other
No Title,Piaski,1 200 złdo negocjacji,1200.0,https://www.olx.pl/d/oferta/giant-terrago-off-road-series-CID767-ID15qinX.html,other
No Title,"Warszawa, Ochota",29 zł,29.0,https://www.olx.pl/d/oferta/blitz-trumpf-custom-bikes-karty-motory-CID4042-ID14ezrU.html,other
No Title,Lublin,16 199 zł,16199.0,https://www.olx.pl/d/oferta/rower-elektryczny-gazelle-avignon-c8-hmb-belt-connect-l49cm-i625wh-CID767-ID11g3F5.html,other
No Title,"Gdańsk, Chełm z dzielnicą Gdańsk Południe",19 zł za dobę,19.0,https://www.olx.pl/d/oferta/wypozycze-rower-elektryczny-glovo-uber-eats-bolt-20-pln-doba-gdansk-CID3018-ID14Fdvz.html,other
No Title,"Kraków, Krowodrza",30 zł,30.0,https://www.olx.pl/d/oferta/album-motocykle-motory-CID751-ID11DO6p.html,other
No Title,Nowy Sącz,3 199 zł,3199.0,https://www.olx.pl/d/oferta/rower-elektryczny-ridstar-electric-bikes-29-cali-pomaranczowy-CID767-IDVPE0m.html,other
No Title,Lublin,3 100 zł,3100.0,https://www.olx.pl/d/oferta/loca-bikes-rozmiar-56-silver-raw-CID767-ID12rXx6.html,other
No Title,Opole,6 700 zł,6700.0,https://www.olx.pl/d/oferta/test-bike-rower-elektryczny-specialized-vado-sl-4-0-28-CID767-IDUyURV.html,other
No Title,"Gdańsk, Orunia",19 zł,19.0,https://www.olx.pl/d/oferta/wypozycze-rower-elektryczny-glovo-uber-eats-bolt-19-pln-doba-gdansk-CID3018-ID15hApG.html,other
No Title,Nysa,3 499 zł,3499.0,https://www.olx.pl/d/oferta/pilne-rower-kona-dh-full-fox-CID767-IDW276Z.html,other
No Title,Pyrzyce,3 100 zł,3100.0,https://www.olx.pl/d/oferta/miejski-trekking-trek-diamant-136-her-2021-rozmiar-xl-60cm-22-5-deore-CID767-ID13Kb98.html,other
No Title,"Białystok, Dojlidy Górne",11 900 zł,11900.0,https://www.olx.pl/d/oferta/rower-elektryczny-gazelle-arroyo-c8-hmb-elite-CID767-ID14mQaz.html,other
No Title,"Warszawa, Białołęka",20 000 złdo negocjacji,20000.0,https://www.olx.pl/d/oferta/automaty-zarobkowe-symulatory-raw-thrills-super-bikes-super-cars-CID4269-ID15jrS1.html,other
No Title,Opole,8 999 zł,8999.0,https://www.olx.pl/d/oferta/haibike-alltrack-6-29-rozmiar-xl-CID767-ID1264pu.html,other
No Title,Opole,9 200 zł,9200.0,https://www.olx.pl/d/oferta/haibike-trekking-4-low-yamaha-720wh-CID767-ID1263Dv.html,other
No Title,Opole,11 900 zł,11900.0,https://www.olx.pl/d/oferta/winora-yakun-10-low-rozmiar-xl-55cm-CID767-ID1261DO.html,other
No Title,"Poznań, Górczyn",20 799 zł,20799.0,https://www.olx.pl/d/oferta/rower-elektryczny-ponizej-250-w-haibike-adventr-fs-8-rama-s-CID767-ID12Hy5g.html,other
